asvab,annualearnings,privatecollege,dadcollege,momcollege
62984,86666.664,0,0,0
51604,21560,0,0,0
30252,46666.668,0,0,1
86409,81000,0,1,1
58798,73333.336,0,1,1
75420,5500,1,1,1
38040,79000,0,0,1
94121,50000,1,0,0
75514,35000,1,1,0
65092,58333.332,0,1,1
80844,,0,1,1
97131,101000,0,0,0
57064,85333.336,0,1,1
95312,98000,1,0,1
60467,36333.332,0,1,1
64220,110000,0,0,1
40193,191175,0,1,1
24088,63000,0,0,0
62671,37000,1,0,0
30261,117500,0,0,0
32471,49000,0,1,0
23181,21000,1,0,0
19438,72500,1,0,0
9399,34333.332,1,0,0
44597,44000,0,0,0
77568,79333.336,0,1,0
79098,17166.666,0,1,1
79187,161294.67,0,1,1
17732,25000,0,0,0
98003,37333.332,1,1,1
65691,221445,0,0,0
19507,105000,0,0,0
79260,56666.668,0,0,0
91624,86333.336,0,1,1
64904,,0,1,1
40468,,1,1,0
92771,91333.336,1,1,1
66165,80666.664,0,0,0
45016,150000,1,0,0
62240,39000,0,0,1
29817,79666.664,0,0,0
37216,97000,1,0,1
75587,52500,0,0,0
86810,43800,0,1,1
91283,21950,1,1,1
86317,32500,0,1,1
92548,45000,0,1,1
78405,40666.668,0,0,1
90491,60000,0,1,1
94485,114333.34,0,1,1
85565,150442,1,1,1
45853,43000,0,0,1
18831,,0,0,0
88353,,0,1,1
84090,58000,0,0,1
88671,23333.334,0,1,1
78513,158828,1,1,1
66515,91666.664,0,1,1
80845,45000,1,1,1
54396,58333.332,0,1,1
63756,,0,1,1
97542,184483.67,1,1,1
32800,42500,0,0,0
58540,42000,0,1,1
82402,54333.332,0,1,1
96663,36500,1,1,0
56285,77500,1,1,0
38166,100000,0,1,1
49995,76666.664,1,0,0
28098,105000,0,0,1
85880,121666.66,0,1,1
80697,105000,0,1,1
20708,17666.666,1,0,0
77356,98333.336,0,0,0
25160,50000,0,1,0
87381,70666.664,1,1,1
53021,31000,0,1,1
61242,328451,0,0,1
98824,32500,1,0,1
54790,63333.332,1,0,1
8524,220364,0,0,1
82149,,0,0,0
86211,88333.336,1,0,0
90068,35000,0,0,0
97131,67333.336,1,0,0
59720,,1,0,0
86787,135000,0,1,1
32867,59000,0,0,1
92297,,0,0,1
46528,76666.664,0,1,1
51911,67333.336,0,0,1
49174,45333.332,0,1,1
8395,38000,0,1,1
56891,45000,0,0,0
86559,58000,0,1,0
94337,181961.33,1,1,0
53508,32000,1,0,0
42130,43500,0,0,0
29864,61333.332,0,1,0
0,102500,1,0,0
87816,76333.336,0,0,0
94693,110000,1,1,1
27267,39333.332,1,0,0
56012,130000,0,0,0
45352,41666.668,0,0,1
39812,65333.332,1,0,1
76679,27500,0,0,0
75903,47500,0,0,0
13673,65333.332,0,1,0
51461,49066.668,0,0,0
72896,31000,0,1,0
59096,85000,0,0,1
20693,75000,0,0,0
29738,31500,1,0,1
48502,6614,0,1,0
27822,36000,0,0,0
31938,,0,0,0
36052,115000,0,0,1
23708,81000,0,0,1
30288,15500,1,0,1
60980,100000,0,1,1
33469,,1,0,0
77934,,0,1,1
73939,,1,1,1
37031,15000,0,0,0
17527,65500,1,0,0
83005,113000,1,0,0
67766,70000,0,1,0
22860,50000,0,0,0
19986,50000,1,0,0
42392,40000,0,0,1
49003,61666.668,0,0,0
74940,,0,0,1
24878,123000,0,1,1
83453,45333.332,0,0,0
59360,31666.666,1,1,1
53481,61333.332,0,0,0
30864,49666.668,0,0,1
54440,33000,1,0,1
96437,91666.664,0,0,0
41365,62500,0,0,0
79338,58500,0,0,0
72074,56000,0,0,0
80527,80666.664,0,1,1
61468,101000,0,1,1
16630,19500,0,0,1
38998,48000,0,1,1
30098,16000,1,1,1
18997,33666.668,1,1,0
42822,53333.332,1,0,0
42741,,0,1,1
47372,58500,0,1,1
42198,,0,1,1
66306,33266.668,0,0,0
12671,31666.666,0,0,0
15582,27666.666,0,0,0
88045,63333.332,0,0,1
48747,270546,0,1,1
12558,140000,0,0,0
19465,37000,0,0,1
41915,43500,0,0,0
35292,15000,0,0,0
7219,59666.668,1,1,1
24340,49000,0,1,1
16392,50000,0,0,0
38142,,0,0,0
33620,66666.664,1,0,0
63176,52500,0,0,0
23540,,0,0,0
16908,61666.668,0,0,0
37240,,0,0,0
49544,,0,0,0
31842,,0,1,1
17888,22000,0,0,0
47759,60000,0,0,1
39539,35333.332,0,0,1
27897,29333.334,1,1,0
53996,,0,0,0
90189,39792,0,0,0
56092,20382,0,0,0
97402,,1,1,1
47190,74000,0,0,1
69604,,0,1,1
19437,42500,1,0,0
25273,36666.668,0,0,1
47265,45333.332,0,0,1
31727,30333.334,0,0,0
34780,51000,1,0,0
55244,73333.336,1,0,0
28634,40666.668,1,0,0
77742,65000,0,0,0
8453,50000,0,0,0
87585,101666.66,0,1,0
31159,56000,0,1,1
74012,32400,0,1,1
24899,32500,0,0,1
33796,21666.666,0,1,1
29698,81000,0,0,0
48523,45500,0,0,0
8578,31000,0,0,0
26175,,0,0,0
16420,39333.332,0,0,0
91113,58666.668,1,1,1
27322,56500,0,0,1
46931,44199.332,1,0,0
26243,43500,0,0,0
40864,63333.332,0,1,1
66274,,0,0,0
20424,32666.666,0,0,0
42635,58166.668,1,0,0
27904,66166.664,1,0,0
35626,39000,0,1,1
23798,40000,0,1,0
63433,258992,1,0,1
54179,33333.332,0,0,0
23679,67333.336,1,0,0
38435,36666.668,0,1,1
59484,27000,0,0,0
85028,66666.664,0,0,0
